,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,29.4,29.6,30.1,30.4,31.2,31.1,31.7,32.4,32.9,33.6,34.2,34.9,35.7,36.5,37.1
Alabama,23.5,22.6,23.6,24.1,24.6,23.8,24.7,26.2,25.0,25.7,26.6,27.2,27.1,27.9,28.6
Alaska,24.0,26.4,25.5,26.0,24.0,27.4,27.0,27.3,28.0,26.9,28.9,29.0,27.7,29.4,29.6
Arizona,25.2,26.4,25.9,25.9,27.2,25.3,26.5,27.5,27.3,27.6,27.4,28.3,29.8,29.9,30.0
Arkansas,20.5,20.7,20.3,20.9,21.7,21.7,23.0,23.7,23.5,24.0,24.6,25.0,26.6,25.8,26.4
California,29.3,29.7,30.1,30.1,31.2,31.2,31.5,32.4,32.4,33.6,34.5,35.4,36.5,36.9,38.2
Colorado,37.3,36.4,37.3,37.3,37.9,37.8,38.5,38.6,39.1,40.1,41.2,40.9,43.1,43.5,45.1
Connecticut,37.8,37.4,38.3,39.5,38.9,39.7,40.0,41.3,41.8,42.4,43.2,43.7,43.4,44.6,44.6
Delaware,30.5,31.8,28.1,29.6,32.2,30.7,32.3,32.4,34.6,34.6,34.0,33.2,32.4,31.8,35.1
District of Columbia,52.2,55.7,57.2,57.6,58.2,61.1,63.4,62.7,65.4,65.9,66.8,65.3,68.2,70.6,70.4
Florida,25.5,26.3,26.8,26.4,26.9,26.5,27.2,28.0,28.3,28.5,29.9,29.9,31.1,32.3,32.3
Georgia,30.6,28.9,29.7,29.9,30.7,29.6,30.4,30.5,30.8,31.3,32.2,32.8,33.3,34.1,35.0
Hawaii,26.8,30.2,29.5,29.4,31.1,30.1,29.1,30.6,33.6,32.7,33.9,33.0,34.1,35.3,35.6
Idaho,24.0,24.6,26.1,24.9,24.6,25.4,26.3,25.9,27.4,26.2,27.5,29.3,28.0,29.2,30.1
Illinois,33.8,33.8,34.5,35.2,35.9,35.9,36.7,37.3,37.6,38.7,38.7,40.1,40.0,41.5,42.4
Indiana,23.8,24.7,25.4,26.2,26.3,26.3,27.0,27.6,27.4,28.8,29.0,30.1,31.3,31.5,31.2
Iowa,29.4,29.4,30.2,30.5,30.7,30.7,31.8,32.8,32.3,34.7,33.7,35.1,35.2,35.4,36.0
Kansas,31.4,32.0,32.2,33.1,32.6,34.1,33.6,33.7,34.2,35.3,35.3,35.7,37.1,37.3,37.3
Kentucky,22.0,22.8,23.1,23.3,25.1,24.3,24.5,25.5,26.5,26.4,27.3,27.5,28.1,29.1,29.5
Louisiana,21.6,21.7,20.9,21.7,24.1,23.6,23.5,24.7,25.4,26.2,26.0,25.9,26.8,26.9,28.1
Maine,25.0,26.8,28.7,26.5,28.6,28.4,30.9,28.3,30.5,32.0,33.0,34.2,35.1,36.1,36.6
Maryland,36.2,37.9,37.2,37.8,39.4,38.5,40.1,40.8,40.7,42.4,42.5,43.3,43.7,44.0,44.2
Massachusetts,42.7,43.2,44.8,44.7,46.3,46.3,45.8,46.4,47.6,48.4,48.7,50.0,50.3,52.6,52.9
Michigan,28.0,28.6,29.0,29.1,28.8,28.9,29.6,30.1,31.0,31.8,31.9,32.4,33.4,34.3,34.4
Minnesota,35.9,35.5,36.3,36.9,37.2,37.9,38.2,39.0,38.8,39.9,40.4,40.4,42.0,42.7,43.5
Mississippi,19.7,20.7,20.4,20.3,21.2,20.9,21.4,22.2,21.9,24.0,22.7,23.4,22.7,25.3,22.7
Missouri,27.7,28.2,28.7,28.9,29.9,30.3,30.6,31.1,31.8,32.8,32.8,33.5,33.6,34.7,35.5
Montana,27.9,29.9,27.9,29.4,30.4,31.5,32.1,32.0,31.7,31.5,34.4,32.8,33.7,34.2,38.1
Nebraska,32.4,31.8,32.2,31.9,32.1,33.8,32.6,34.4,34.7,35.6,35.8,37.7,37.7,39.3,40.6
Nevada,19.8,20.3,20.9,21.1,21.6,21.3,21.1,22.4,21.8,22.9,23.2,23.1,24.9,24.8,25.4
New Hampshire,34.6,34.9,36.0,37.2,36.2,36.2,37.1,38.1,37.5,38.7,39.9,40.7,40.5,40.0,42.4
New Jersey,38.0,38.4,38.2,39.2,39.6,40.6,40.6,42.3,42.8,43.5,44.4,45.2,47.3,47.8,48.1
New Mexico,21.9,22.9,22.8,22.5,22.9,22.1,23.0,23.9,24.7,23.0,22.8,24.7,24.3,25.3,25.5
New York,35.8,35.7,36.7,37.4,39.2,38.4,39.1,39.7,41.0,41.8,42.6,43.1,44.0,45.0,45.6
North Carolina,28.0,27.4,28.0,28.4,29.9,29.2,30.1,30.5,31.9,32.3,32.6,34.0,35.2,35.8,36.0
North Dakota,30.8,31.5,31.2,33.7,31.2,35.4,32.8,35.7,32.9,33.0,34.4,36.5,39.1,38.0,36.6
Ohio,27.1,27.0,28.0,28.6,29.2,29.3,29.3,30.1,31.1,31.8,32.0,32.6,33.2,34.0,34.4
Oklahoma,23.4,23.1,23.6,23.4,23.4,24.1,25.6,25.3,25.6,26.0,25.9,26.7,26.7,27.2,27.3
Oregon,28.9,29.3,30.6,30.5,30.9,30.7,30.7,32.7,33.2,33.6,35.5,35.3,37.2,36.7,37.5
Pennsylvania,30.1,30.4,30.9,31.5,32.9,33.3,33.5,34.6,35.7,36.0,36.8,38.4,38.7,39.4,39.5
Rhode Island,33.7,34.8,34.0,34.3,35.3,35.2,34.8,35.6,35.7,34.7,35.9,39.3,38.3,37.3,40.5
South Carolina,24.2,23.4,25.1,24.9,26.4,26.2,26.4,27.4,28.6,28.3,28.7,29.5,29.8,30.7,32.0
South Dakota,29.3,29.5,28.8,29.4,27.9,30.4,29.8,30.0,31.2,31.8,31.6,32.6,30.7,34.9,33.8
Tennessee,23.9,24.0,24.2,25.6,27.2,26.4,27.1,28.2,29.1,28.9,29.9,29.9,31.8,31.2,33.0
Texas,25.2,25.4,25.8,26.0,26.4,26.7,27.4,27.6,28.8,29.3,29.9,30.4,31.1,32.2,33.1
Utah,29.1,28.7,29.4,29.4,29.5,29.8,30.2,31.4,32.1,31.4,32.6,34.6,36.2,36.3,36.5
Vermont,33.8,33.2,35.1,34.3,35.5,34.6,38.9,38.2,39.0,39.4,38.2,40.5,41.2,44.7,43.8
Virginia,34.9,35.5,36.0,36.2,37.2,38.2,39.7,39.7,40.0,41.3,41.1,41.7,42.6,43.4,43.5
Washington,31.2,32.3,32.0,31.7,32.8,32.5,32.7,32.8,34.1,35.2,36.3,37.5,38.1,40.2,39.9
West Virginia,19.5,19.6,19.8,20.1,20.2,21.4,23.0,22.5,22.7,23.2,24.0,25.2,23.5,24.7,26.0
Wisconsin,28.8,29.2,29.6,30.1,30.2,30.5,30.8,32.1,32.8,33.5,33.7,35.2,36.0,35.5,37.3
Wyoming,23.0,22.4,22.8,23.0,23.9,24.7,26.5,24.8,29.1,26.9,27.7,28.4,28.6,29.3,29.8
,,,,,,,,,,,,,,,
Puerto Rico,26.9,27.5,28.9,28.6,29.0,27.9,29.3,30.8,30.2,29.9,30.3,30.7,31.2,32.6,32.7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NOTES: Bachelor's degree holders include those who completed a bachelor's or higher degree. The national total for degree holders for the United States includes Puerto Rico. The national population total for the United States includes Puerto Rico.,,,,,,,,,,,,,,,
"SOURCE: U.S. Census Bureau, special tabulations of the American Community Survey (various years), data available as of January 2021; U.S. Census Bureau, 2000 and 2010 Decennial Censuses and Population Estimates Program (various years), data available as of June 2020.",,,,,,,,,,,,,,,
"Recommended Citation: National Science Board. “Bachelor's Degree Holders among Individuals 25–44 Years Old.” Science and Engineering Indicators: State Indicators. Alexandria, VA: National Science Foundation. https://ncses.nsf.gov/indicators/states/indicator/bachelors-degree-holders-per-25-44-year-olds. Accessed on [date of user access].",,,,,,,,,,,,,,,
"Last updated: March 24, 2021",,,,,,,,,,,,,,,
Science and Engineering Indicators,,,,,,,,,,,,,,,
