State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"24,630,555","24,791,935","25,148,075","25,340,695","25,948,790","25,879,000","26,405,400","27,104,110","27,729,645","28,487,795","29,189,105","30,013,410","31,016,590","31,954,095","32,785,135"
Alabama,"288,815","279,105","290,290","296,950","303,640","293,020","302,530","321,275","306,775","315,335","326,725","334,875","334,210","344,525","354,540"
Alaska,"45,315","49,715","48,100","49,345","45,860","54,015","54,020","55,615","57,845","56,020","60,490","61,695","59,120","62,765","63,145"
Arizona,"408,520","439,550","435,695","438,555","458,075","425,040","447,270","469,010","469,440","480,890","483,815","508,275","544,715","556,575","571,695"
Arkansas,"152,225","154,705","151,405","156,110","161,440","161,045","171,720","177,475","175,985","180,185","185,215","189,255","202,655","196,930","202,205"
California,"3,112,605","3,139,600","3,171,265","3,166,850","3,270,705","3,276,535","3,325,565","3,441,800","3,481,290","3,645,960","3,786,335","3,921,620","4,091,870","4,164,535","4,330,535"
Colorado,"512,180","502,930","518,480","524,215","537,205","540,440","559,125","569,570","586,135","612,010","644,010","653,905","704,320","728,975","771,390"
Connecticut,"362,930","353,075","356,700","364,875","354,995","358,585","357,970","367,495","368,910","371,275","374,505","376,430","373,885","387,885","390,425"
Delaware,"71,090","73,850","65,105","68,075","73,655","69,830","73,415","73,590","79,645","80,495","79,970","78,485","76,960","76,310","85,110"
District of Columbia,"96,815","104,725","108,660","111,030","115,960","127,235","138,825","143,880","156,455","162,040","169,130","169,630","181,020","190,195","192,555"
Florida,"1,212,200","1,261,960","1,285,285","1,259,505","1,270,000","1,253,795","1,291,830","1,345,635","1,377,115","1,409,820","1,509,960","1,542,505","1,636,425","1,723,665","1,745,405"
Georgia,"820,695","788,910","815,245","825,555","844,470","808,440","829,700","833,060","842,380","858,275","887,900","914,050","936,415","967,980","1,005,425"
Hawaii,"95,030","108,310","104,925","105,510","111,895","109,170","106,725","114,040","126,625","123,990","129,455","127,000","130,845","135,430","135,965"
Idaho,"89,960","94,110","102,125","98,870","98,195","102,010","106,170","104,725","111,820","108,245","115,155","125,615","123,195","131,995","139,400"
Illinois,"1,216,935","1,207,920","1,225,025","1,246,880","1,264,185","1,256,125","1,280,115","1,297,660","1,306,450","1,340,980","1,334,310","1,373,560","1,364,145","1,410,730","1,441,205"
Indiana,"408,105","421,400","431,560","442,580","440,160","438,225","448,595","458,180","455,340","480,370","482,595","503,575","526,390","535,790","536,670"
Iowa,"221,495","219,910","225,940","227,350","228,595","229,770","238,650","245,275","243,005","261,785","255,250","266,910","270,365","274,935","282,075"
Kansas,"224,945","228,390","230,050","237,395","234,605","247,320","243,650","245,280","249,700","257,970","258,970","261,800","272,825","275,865","277,340"
Kentucky,"256,210","265,170","268,165","268,370","287,620","277,255","279,375","289,325","299,445","297,590","307,740","310,640","317,905","330,170","336,365"
Louisiana,"267,430","250,100","242,865","253,510","285,090","282,390","283,640","300,230","310,520","323,175","323,465","324,860","334,760","336,235","350,875"
Maine,"85,985","90,375","95,435","86,560","91,690","89,450","96,290","87,590","93,755","98,610","101,070","105,165","108,625","112,950","115,885"
Maryland,"582,280","605,875","587,905","592,420","613,135","601,335","627,065","642,600","644,750","672,305","676,610","688,420","696,960","706,145","712,675"
Massachusetts,"780,520","775,630","793,675","784,970","805,480","803,235","795,925","812,840","838,555","858,615","866,700","895,005","909,755","960,985","974,100"
Michigan,"757,970","759,115","753,760","739,240","714,045","703,205","711,955","721,155","740,685","759,510","764,125","781,050","812,000","842,895","851,380"
Minnesota,"511,400","500,910","512,435","519,390","520,360","529,150","535,145","546,610","547,700","565,365","574,010","576,235","608,765","627,510","647,145"
Mississippi,"152,605","159,020","156,955","155,485","161,960","159,265","162,730","168,990","166,210","182,480","172,140","177,815","172,680","191,955","172,285"
Missouri,"429,500","436,850","443,270","443,525","456,595","461,865","466,570","473,755","485,785","502,075","504,000","515,485","522,985","543,295","561,540"
Montana,"63,695","68,280","64,465","68,490","71,370","74,345","76,275","76,565","76,940","77,290","85,630","82,740","87,375","90,275","102,260"
Nebraska,"149,235","145,720","147,775","146,230","148,520","157,755","153,065","162,440","165,205","170,245","171,645","182,720","184,645","194,440","202,530"
Nevada,"143,300","151,980","160,040","163,620","167,405","163,595","161,565","172,600","169,110","179,205","185,210","187,330","206,175","210,080","219,215"
New Hampshire,"122,680","121,670","123,285","124,820","118,845","116,700","118,255","120,500","117,740","121,535","125,270","128,275","129,180","129,505","139,730"
New Jersey,"943,940","940,690","922,810","935,585","935,350","951,630","945,455","979,215","983,365","993,140","1,009,300","1,023,980","1,074,840","1,090,140","1,101,485"
New Mexico,"110,560","116,420","116,115","114,535","117,145","114,135","119,740","125,180","129,510","120,695","119,745","130,290","128,830","135,395","137,595"
New York,"1,964,870","1,934,140","1,967,980","1,993,535","2,072,040","2,023,840","2,066,560","2,099,705","2,176,295","2,217,920","2,259,140","2,283,450","2,330,375","2,387,480","2,418,300"
North Carolina,"697,740","689,730","712,815","729,805","768,610","753,805","776,395","786,980","826,530","840,255","851,625","893,505","935,725","960,355","978,850"
North Dakota,"48,380","49,180","49,435","53,740","50,785","58,935","55,890","62,915","60,715","63,155","68,550","73,320","79,125","77,685","75,905"
Ohio,"833,140","820,655","840,230","846,255","852,180","845,475","840,370","861,400","891,570","914,590","922,940","942,570","966,585","997,180","1,015,845"
Oklahoma,"218,270","217,215","223,075","221,670","224,300","233,470","249,805","249,510","255,270","261,550","263,530","273,315","275,180","281,305","284,680"
Oregon,"284,780","291,515","307,420","308,690","315,665","315,040","317,300","340,800","348,440","357,085","384,140","392,680","423,300","424,235","439,290"
Pennsylvania,"979,365","981,800","989,050","1,000,910","1,035,975","1,040,685","1,045,715","1,082,555","1,120,305","1,130,985","1,159,390","1,209,520","1,227,340","1,259,265","1,273,570"
Rhode Island,"98,475","99,000","94,365","93,440","94,160","92,970","91,170","93,115","93,820","91,710","95,225","104,775","102,340","100,995","110,670"
South Carolina,"283,280","276,215","297,355","298,340","315,850","312,195","315,050","327,530","344,720","345,700","355,430","370,085","378,490","395,245","416,770"
South Dakota,"56,950","56,970","56,130","57,425","55,005","60,425","59,990","61,270","64,520","66,225","66,160","69,025","66,485","76,385","74,695"
Tennessee,"401,025","406,110","411,335","432,370","458,485","442,130","455,455","475,830","491,515","491,175","512,470","516,755","556,840","553,200","592,510"
Texas,"1,668,865","1,710,380","1,761,430","1,797,530","1,848,860","1,891,850","1,972,065","2,023,055","2,137,395","2,222,670","2,314,775","2,389,780","2,486,160","2,606,715","2,717,435"
Utah,"197,780","201,175","213,575","219,610","225,715","232,955","238,955","251,525","260,905","259,125","272,775","297,280","318,820","325,885","334,445"
Vermont,"53,695","51,825","53,805","51,830","52,955","51,125","56,930","55,360","56,310","56,365","54,400","57,420","58,870","64,645","63,810"
Virginia,"763,865","777,630","788,015","792,205","815,770","842,295","878,900","887,285","898,630","931,855","928,960","943,490","970,010","992,345","1,001,990"
Washington,"554,105","578,585","577,395","576,630","602,270","600,855","610,785","618,790","650,175","683,365","718,770","763,975","799,730","864,890","878,310"
West Virginia,"91,540","91,845","92,000","92,980","93,105","97,890","104,925","101,830","102,175","103,970","106,555","110,950","102,440","106,375","111,125"
Wisconsin,"430,485","432,645","435,545","440,265","438,370","440,270","442,835","458,470","466,750","474,985","477,135","497,605","512,570","511,990","542,485"
Wyoming,"29,830","29,405","30,815","31,825","34,280","35,805","38,625","36,980","43,950","40,715","42,315","43,410","43,110","44,110","44,925"
,,,,,,,,,,,,,,,
Puerto Rico,"276,935","279,955","291,500","285,245","286,175","271,080","278,780","286,055","275,475","266,925","264,385","261,300","258,230","256,765","259,360"
