Table S-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders in the Labor Force, by state: 2005–19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force participants with bachelor's degrees,,,,,,,,,,,,,,,,Labor force participants,,,,,,,,,,,,,,,,Bachelor's degree holders as a percent of the labor force (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"41,673,150","43,020,080","44,183,900","45,416,730","46,181,720","46,775,550","47,557,510","48,894,190","49,966,305","51,118,125","52,396,905","53,905,975","55,626,055","57,157,850","58,611,030",,"148,004,110","152,644,505","153,621,690","157,408,945","157,527,605","157,303,075","157,813,155","159,027,870","159,799,245","160,831,265","161,917,725","163,134,550","164,903,180","166,080,925","167,489,305",,28.2,28.2,28.8,28.9,29.3,29.7,30.1,30.7,31.3,31.8,32.4,33.0,33.7,34.4,35.0
Alabama,"492,565","502,925","507,605","533,095","536,210","533,990","549,360","572,805","571,535","578,165","595,345","604,765","617,415","624,760","651,555",,"2,137,630","2,163,695","2,172,730","2,230,790","2,233,570","2,244,210","2,240,440","2,223,645","2,225,200","2,220,715","2,197,660","2,219,290","2,194,185","2,219,105","2,265,090",,23.0,23.2,23.4,23.9,24.0,23.8,24.5,25.8,25.7,26.0,27.1,27.3,28.1,28.2,28.8
Alaska,"84,585","89,935","89,525","94,140","92,035","103,295","100,540","105,020","103,730","104,145","109,510","111,935","104,605","108,145","106,425",,"330,670","356,245","361,325","366,800","368,340","373,705","377,710","381,360","386,510","381,695","385,165","388,060","373,250","371,180","358,660",,25.6,25.2,24.8,25.7,25.0,27.6,26.6,27.5,26.8,27.3,28.4,28.8,28.0,29.1,29.7
Arizona,"698,240","748,110","756,520","783,540","807,020","787,640","805,725","840,385","849,330","863,870","877,350","939,315","971,520","1,014,830","1,054,415",,"2,807,300","2,936,090","3,013,235","3,134,435","3,128,500","3,011,570","3,025,210","3,058,185","3,065,155","3,113,635","3,153,950","3,242,630","3,318,675","3,396,895","3,482,170",,24.9,25.5,25.1,25.0,25.8,26.2,26.6,27.5,27.7,27.7,27.8,29.0,29.3,29.9,30.3
Arkansas,"265,900","267,735","277,020","277,340","282,850","291,095","306,010","316,445","306,005","326,435","323,105","338,150","350,620","347,335","357,580",,"1,324,065","1,344,720","1,335,170","1,360,355","1,371,230","1,377,435","1,363,235","1,367,520","1,351,145","1,361,070","1,349,815","1,351,705","1,373,375","1,379,145","1,392,235",,20.1,19.9,20.7,20.4,20.6,21.1,22.4,23.1,22.6,24.0,23.9,25.0,25.5,25.2,25.7
California,"5,181,220","5,303,085","5,447,185","5,566,305","5,662,070","5,718,930","5,830,490","6,020,550","6,088,970","6,323,440","6,512,480","6,719,890","6,972,445","7,115,070","7,324,340",,"17,244,650","17,926,640","18,057,935","18,484,265","18,541,320","18,625,515","18,737,750","18,929,225","19,046,185","19,276,720","19,463,805","19,620,590","19,936,050","20,038,675","20,095,760",,30.0,29.6,30.2,30.1,30.5,30.7,31.1,31.8,32.0,32.8,33.5,34.2,35.0,35.5,36.4
Colorado,"863,960","868,915","907,210","950,645","967,040","984,155","1,001,865","1,037,115","1,056,375","1,085,660","1,131,550","1,175,955","1,230,640","1,290,890","1,339,255",,"2,487,680","2,574,210","2,633,860","2,714,555","2,710,650","2,714,225","2,747,665","2,775,820","2,789,490","2,854,920","2,916,720","2,967,775","3,027,185","3,105,290","3,147,670",,34.7,33.8,34.4,35.0,35.7,36.3,36.5,37.4,37.9,38.0,38.8,39.6,40.7,41.6,42.5
Connecticut,"659,605","652,280","668,145","693,135","701,695","707,685","716,900","745,930","746,865","763,040","770,890","773,945","781,410","796,610","793,145",,"1,818,390","1,880,180","1,881,730","1,910,275","1,917,745","1,939,960","1,949,485","1,949,725","1,951,695","1,952,825","1,941,590","1,935,655","1,922,385","1,928,920","1,926,485",,36.3,34.7,35.5,36.3,36.6,36.5,36.8,38.3,38.3,39.1,39.7,40.0,40.6,41.3,41.2
Delaware,"122,030","121,940","118,070","126,435","136,335","133,790","139,350","142,635","151,350","150,370","155,925","152,840","156,205","156,250","169,885",,"429,175","432,375","440,420","450,845","457,000","453,205","461,640","468,130","470,710","472,990","475,210","471,000","460,675","486,290","488,690",,28.4,28.2,26.8,28.0,29.8,29.5,30.2,30.5,32.2,31.8,32.8,32.5,33.9,32.1,34.8
