State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,28.2,28.2,28.8,28.9,29.3,29.7,30.1,30.7,31.3,31.8,32.4,33,33.7,34.4,35
Alabama,23,23.2,23.4,23.9,24,23.8,24.5,25.8,25.7,26,27.1,27.3,28.1,28.2,28.8
Alaska,25.6,25.2,24.8,25.7,25,27.6,26.6,27.5,26.8,27.3,28.4,28.8,28,29.1,29.7
Arizona,24.9,25.5,25.1,25,25.8,26.2,26.6,27.5,27.7,27.7,27.8,29,29.3,29.9,30.3
Arkansas,20.1,19.9,20.7,20.4,20.6,21.1,22.4,23.1,22.6,24,23.9,25,25.5,25.2,25.7
California,30,29.6,30.2,30.1,30.5,30.7,31.1,31.8,32,32.8,33.5,34.2,35,35.5,36.4
Colorado,34.7,33.8,34.4,35,35.7,36.3,36.5,37.4,37.9,38,38.8,39.6,40.7,41.6,42.5
Connecticut,36.3,34.7,35.5,36.3,36.6,36.5,36.8,38.3,38.3,39.1,39.7,40,40.6,41.3,41.2
Delaware,28.4,28.2,26.8,28,29.8,29.5,30.2,30.5,32.2,31.8,32.8,32.5,33.9,32.1,34.8
District of Columbia,52.5,52.4,54,53.1,52.9,56.2,58.1,58.5,60.4,59.6,62.2,62.5,63.1,65.7,64.9
Florida,25.4,25.8,26.4,26.4,26.1,26.5,26.7,27.7,28.1,28.2,29.5,29.5,30.5,31.1,31.6
Georgia,28,27.6,28.3,28.8,29.1,28.7,29.5,30.1,30.1,31.1,31.8,32.4,32.8,34,34.6
Hawaii,28.9,30.7,30.3,29.6,30.2,29.8,30,30.8,32.2,31.3,31.1,32.7,32.9,33.5,34
Idaho,22.5,22.9,24,23.4,22.9,24.5,25,24.9,26.1,25.1,25.8,26.9,26.3,27.8,27.3
Illinois,30.6,30.4,31.1,31.5,32.3,32.9,33.3,33.7,34.3,34.9,35.1,36.3,36.4,37.6,38.4
Indiana,22.3,22.8,23.6,24.3,24.3,24.7,24.9,25,25.7,26.4,27,27.5,28.7,28.9,28.9
Iowa,24.8,25.1,25,25.2,25.9,26,27,27.1,27.4,28.2,27.4,29,29.7,30.1,30
Kansas,28.2,28.5,28.9,29.8,29.8,30.3,30.6,30.8,31.7,31.8,32,33.2,33.9,34.2,34
Kentucky,21.8,22.7,22.6,22.4,24.1,23.7,24.5,25,25.8,25.5,26.4,26.7,27.4,28.1,28.9
Louisiana,22,21.9,21.8,22.1,23.2,23.4,22.8,23.9,24.6,25.2,25.7,25.9,26.8,27.1,27.5
Maine,25.9,26.9,27.8,25.8,28.1,28.4,30.1,29.1,29.6,31.3,31.6,32.2,32.7,32.8,34.9
Maryland,35.1,35.6,36.4,35.9,36.8,37.3,37.7,38.3,38.9,39.7,40.5,40.7,41.3,42.2,42.8
Massachusetts,38.9,39.2,40.2,39.6,40.5,41.1,41.3,41.4,42.2,43.5,43.6,44.6,45.5,47,47.3
