Name,State
Princeton University,New Jersey
Harvard University,Massachusetts
University of Chicago,Illinois
Yale University,Connecticut
Columbia University,New York
Stanford University,California
Massachusetts Institute of Technology,Massachusetts
Duke University,North Carolina
University of Pennsylvania,Pennsylvania
Johns Hopkins University,Maryland
Dartmouth College,New Hampshire
California Institute of Technology,California
Northwestern University,Illinois
Brown University,Rhode Island
Cornell University,New York
Rice University,Texas
University of Notre Dame,Indiana
Vanderbilt University,Tennessee
Washington University in St. Louis,Missouri
Emory University,Georgia
Georgetown University,Dist. Of Columbia
University of California--Berkeley,California
University of Southern California,California
Carnegie Mellon University,Pennsylvania
University of California--Los Angeles,California
University of Virginia,Virginia
Tufts University,Massachusetts
University of Michigan--Ann Arbor,Michigan
Wake Forest University,North Carolina
University of North Carolina--Chapel Hill,North Carolina
Boston College,Massachusetts
College of William & Mary,Virginia
University of Rochester,New York
Brandeis University,Massachusetts
Georgia Institute of Technology,Georgia
New York University,New York
Case Western Reserve University,Ohio
University of California--Santa Barbara,California
Boston University,Massachusetts
Northeastern University,Massachusetts
Rensselaer Polytechnic Institute,New York
Tulane University,Louisiana
University of California--Irvine,California
Lehigh University,Pennsylvania
University of California--Davis,California
University of California--San Diego,California
University of Illinois--Urbana-Champaign,Illinois
University of Miami,Florida
University of Wisconsin--Madison,Wisconsin
Pepperdine University,California
University of Florida,Florida
Villanova University,Pennsylvania
Pennsylvania State University--University Park,Pennsylvania
Ohio State University--Columbus,Ohio
University of Washington,Washington
George Washington University,Dist. Of Columbia
Southern Methodist University,Texas
University of Georgia,Georgia
University of Texas--Austin,Texas
Fordham University,New York
Purdue University--West Lafayette,Indiana
Syracuse University,New York
University of Connecticut,Connecticut
University of Maryland--College Park,Maryland
Worcester Polytechnic Institute,Massachusetts
Clemson University,South Carolina
Yeshiva University,New York
Brigham Young University--Provo,Utah
University of Pittsburgh,Pennsylvania
Rutgers University--New Brunswick,New Jersey
Baylor University,Texas
Stevens Institute of Technology,New Jersey
University of Minnesota--Twin Cities,Minnesota
American University,Dist. Of Columbia
Clark University,Massachusetts
Texas A&M University--College Station,Texas
University of Massachusetts--Amherst,Massachusetts
Virginia Tech,Virginia
Miami University--Oxford,Ohio
University of California--Santa Cruz,California
University of Delaware,Delaware
Colorado School of Mines,Colorado
Michigan State University,Michigan
Texas Christian University,Texas
University of Iowa,Iowa
Binghamton University--SUNY,New York
Indiana University--Bloomington,Indiana
Marquette University,Wisconsin
University of Denver,Colorado
University of San Diego,California
University of Tulsa,Oklahoma
Florida State University,Florida
North Carolina State University--Raleigh,North Carolina
University of Colorado--Boulder,Colorado
University of Vermont,Vermont
Drexel University,Pennsylvania
Saint Louis University,Missouri
Stony Brook University--SUNY,New York
