,Name,2009ind,2009lab,2009ba,2010ind,2010lab,2010ba,2011ind,2011lab,2011ba,2012ind,2012lab,2012ba,2013ind,2013lab,2013ba,2014ind,2014ind,2014ba,2015ind,2015lab,2015ba,2016ind,2016lab,2016ba,2017ind,2017lab,2017ba,2018ind,2018lab,2018ba,2019ind,2019lab,2019ba
0,Alabama,"1,232,200","536,210","303,640","1,228,719","533,990","293,020","1,225,177","549,360","302,530","1,225,301","572,805","321,275","1,226,950","571,535","306,775","1,228,634","578,165","315,335","1,229,894","595,345","326,725","1,230,234","604,765","334,875","1,231,962","617,415","334,210","1,235,156","624,760","344,525","1,240,535","651,555","354,540"
1,Alaska,"191,023","92,035","45,860","197,484","103,295","54,015","200,160","100,540","54,020","203,538","105,020","55,615","206,940","103,730","57,845","207,935","104,145","56,020","209,364","109,510","60,490","212,764","111,935","61,695","213,484","104,605","59,120","213,174","108,145","62,765","213,353","106,425","63,145"
2,Arizona,"1,685,082","807,020","458,075","1,681,042","787,640","425,040","1,690,623","805,725","447,270","1,704,165","840,385","469,010","1,719,573","849,330","469,440","1,741,550","863,870","480,890","1,765,511","877,350","483,815","1,795,527","939,315","508,275","1,827,995","971,520","544,715","1,863,583","1,014,830","556,575","1,903,120","1,054,415","571,695"
3,Arkansas,"743,283","282,850","161,440","743,027","291,095","161,045","745,419","306,010","171,720","747,311","316,445","177,475","748,724","306,005","175,985","750,150","326,435","180,185","753,383","323,105","185,215","757,147","338,150","189,255","761,587","350,620","202,655","764,254","347,335","196,930","767,131","357,580","202,205"
4,California,"10,493,897","5,662,070","3,270,705","10,508,797","5,718,930","3,276,535","10,563,533","5,830,490","3,325,565","10,636,008","6,020,550","3,441,800","10,730,918","6,088,970","3,481,290","10,844,896","6,323,440","3,645,960","10,961,901","6,512,480","3,786,335","11,088,335","6,719,890","3,921,620","11,197,559","6,972,445","4,091,870","11,274,711","7,115,070","4,164,535","11,335,052","7,324,340","4,330,535"
5,Colorado,"1,415,641","967,040","537,205","1,430,726","984,155","540,440","1,452,344","1,001,865","559,125","1,475,571","1,037,115","569,570","1,499,651","1,056,375","586,135","1,524,815","1,085,660","612,010","1,562,535","1,131,550","644,010","1,598,643","1,175,955","653,905","1,634,622","1,230,640","704,320","1,675,850","1,290,890","728,975","1,711,425","1,339,255","771,390"
6,Connecticut,"911,836","701,695","354,995","902,627","707,685","358,585","894,883","716,900","357,970","889,262","745,930","367,495","882,963","746,865","368,910","875,557","763,040","371,275","867,238","770,890","374,505","860,875","773,945","376,430","861,822","781,410","373,885","869,012","796,610","387,885","875,170","793,145","390,425"
7,Delaware,"228,638","136,335","73,655","227,384","133,790","69,830","227,311","139,350","73,415","227,469","142,635","73,590","229,950","151,350","79,645","232,784","150,370","80,495","235,059","155,925","79,970","236,076","152,840","78,485","237,424","156,205","76,960","239,609","156,250","76,310","242,181","169,885","85,110"
8,District of Columbia,"199,093","174,825","115,960","208,088","191,925","127,235","219,040","203,595","138,825","229,579","213,410","143,880","239,403","224,760","156,455","245,996","226,040","162,040","253,147","242,110","169,130","259,823","245,065","169,630","265,471","255,855","181,020","269,447","270,905","190,195","273,510","268,705","192,555"
9,Florida,"4,728,842","2,368,960","1,270,000","4,726,467","2,435,020","1,253,795","4,752,143","2,465,640","1,291,830","4,807,457","2,588,765","1,345,635","4,867,648","2,630,705","1,377,115","4,950,029","2,680,730","1,409,820","5,053,017","2,850,265","1,509,960","5,166,361","2,891,340","1,542,505","5,263,303","3,060,945","1,636,425","5,337,990","3,194,970","1,723,665","5,399,953","3,296,270","1,745,405"
